CodigoCNES,NomeFantasia,codigo_tratado,nome_tratado
"OrderedDict([('codigo', '7700490')])","OrderedDict([('Nome', 'CONSIULTORIO MEDICO DRA ANA TERESA')])",7700490,CONSIULTORIO MEDICO DRA ANA TERESA
"OrderedDict([('codigo', '7698127')])","OrderedDict([('Nome', 'CONSULTORIO DE PSICOLOGIA DRA CLAUDIA MONTENEGRO')])",7698127,CONSULTORIO DE PSICOLOGIA DRA CLAUDIA MONTENEGRO
"OrderedDict([('codigo', '7707150')])","OrderedDict([('Nome', 'INSTITUTO DO SONO E TRANSTORNOS MENTAIS')])",7707150,INSTITUTO DO SONO E TRANSTORNOS MENTAIS
"OrderedDict([('codigo', '7769393')])","OrderedDict([('Nome', 'VIP SAUDE HOME CARE')])",7769393,VIP SAUDE HOME CARE
"OrderedDict([('codigo', '5656281')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO JAMILE LUZ ALTMEIER OTTO')])",5656281,CONSULTORIO ODONTOLOGICO JAMILE LUZ ALTMEIER OTTO
"OrderedDict([('codigo', '5661374')])","OrderedDict([('Nome', 'CONSULTORIO RAFAELA SALES DE CARVALHO')])",5661374,CONSULTORIO RAFAELA SALES DE CARVALHO
"OrderedDict([('codigo', '5662249')])","OrderedDict([('Nome', 'RADIOCOR')])",5662249,RADIOCOR
"OrderedDict([('codigo', '5326702')])","OrderedDict([('Nome', 'CLINICA DE OLHOS MARCOS FULCO')])",5326702,CLINICA DE OLHOS MARCOS FULCO
"OrderedDict([('codigo', '5412749')])","OrderedDict([('Nome', 'CONSULTORIO DRA TEREZA CRISTINA')])",5412749,CONSULTORIO DRA TEREZA CRISTINA
"OrderedDict([('codigo', '5894271')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DR ADRIANO DIOGENES')])",5894271,CONSULTORIO ODONTOLOGICO DR ADRIANO DIOGENES
"OrderedDict([('codigo', '5386209')])","OrderedDict([('Nome', 'CENTRO DERMATOLOGICO DE NATAL')])",5386209,CENTRO DERMATOLOGICO DE NATAL
"OrderedDict([('codigo', '5398770')])","OrderedDict([('Nome', 'CENTRO DE FISIOTERAPIA NATAL')])",5398770,CENTRO DE FISIOTERAPIA NATAL
"OrderedDict([('codigo', '5398924')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO EDILZE MEDEIROS GOMES')])",5398924,CONSULTORIO MEDICO EDILZE MEDEIROS GOMES
"OrderedDict([('codigo', '5400600')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO ROSSANA CHRISTINE MOURA REBELO')])",5400600,CONSULTORIO MEDICO ROSSANA CHRISTINE MOURA REBELO
"OrderedDict([('codigo', '5400945')])","OrderedDict([('Nome', 'DERMAFONO')])",5400945,DERMAFONO
"OrderedDict([('codigo', '5401836')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ANNA KAROLINA PEREIRA MIRANDA')])",5401836,CONSULTORIO ODONTOLOGICO ANNA KAROLINA PEREIRA MIRANDA
"OrderedDict([('codigo', '5403626')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ANA KATARYNA DINIZ MAFRA')])",5403626,CONSULTORIO ODONTOLOGICO ANA KATARYNA DINIZ MAFRA
"OrderedDict([('codigo', '5403804')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ALESSANDRA JEREISSATI MARTINS')])",5403804,CONSULTORIO ODONTOLOGICO ALESSANDRA JEREISSATI MARTINS
"OrderedDict([('codigo', '5371864')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO MAETERLINCK REGO MENDES')])",5371864,CONSULTORIO MEDICO MAETERLINCK REGO MENDES
"OrderedDict([('codigo', '5375908')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO ANTONIO ALADIM DE ARAUJO NETO')])",5375908,CONSULTORIO MEDICO ANTONIO ALADIM DE ARAUJO NETO
"OrderedDict([('codigo', '5378508')])","OrderedDict([('Nome', 'VIDA EM CASA')])",5378508,VIDA EM CASA
"OrderedDict([('codigo', '5549930')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA LANNISSE ODISSER LOPES')])",5549930,CONSULTORIO ODONTOLOGICO DRA LANNISSE ODISSER LOPES
"OrderedDict([('codigo', '7779836')])","OrderedDict([('Nome', 'RELVA SILVA LOUP')])",7779836,RELVA SILVA LOUP
"OrderedDict([('codigo', '7782330')])","OrderedDict([('Nome', 'CONSULTORIO DE PSICOLOGIA MARINA FURTADO')])",7782330,CONSULTORIO DE PSICOLOGIA MARINA FURTADO
"OrderedDict([('codigo', '7776233')])","OrderedDict([('Nome', 'SORRIDENTES IGAPO')])",7776233,SORRIDENTES IGAPO
"OrderedDict([('codigo', '7781504')])","OrderedDict([('Nome', 'RESSONANCIA SAO LUCAS')])",7781504,RESSONANCIA SAO LUCAS
"OrderedDict([('codigo', '7535465')])","OrderedDict([('Nome', 'RH EORGANIZE')])",7535465,RH EORGANIZE
"OrderedDict([('codigo', '7536046')])","OrderedDict([('Nome', 'UROS UROLOGISTAS ASSOCIADOS LTDA ME')])",7536046,UROS UROLOGISTAS ASSOCIADOS LTDA ME
"OrderedDict([('codigo', '7538359')])","OrderedDict([('Nome', 'CONSULTORIO DE PSICOLOGIA DRA CAMILLE SILVEIRA')])",7538359,CONSULTORIO DE PSICOLOGIA DRA CAMILLE SILVEIRA
"OrderedDict([('codigo', '7557876')])","OrderedDict([('Nome', 'S S SERVICOS ODONTOLOGICOS LTDA ME')])",7557876,S S SERVICOS ODONTOLOGICOS LTDA ME
"OrderedDict([('codigo', '5502306')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ANNA LUIZA C R DA R PAIVA')])",5502306,CONSULTORIO ODONTOLOGICO ANNA LUIZA C R DA R PAIVA
"OrderedDict([('codigo', '5503876')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO KLEBER DE MELO MORAIS')])",5503876,CONSULTORIO MEDICO KLEBER DE MELO MORAIS
"OrderedDict([('codigo', '7575548')])","OrderedDict([('Nome', 'M E SOLUCAO EM SAUDE E NUTRICAO')])",7575548,M E SOLUCAO EM SAUDE E NUTRICAO
"OrderedDict([('codigo', '7578806')])","OrderedDict([('Nome', 'NURP NUCLEO DE REEDUCACAO POSTURAL')])",7578806,NURP NUCLEO DE REEDUCACAO POSTURAL
"OrderedDict([('codigo', '5417554')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO AFFONSO RECIPUTE JUNIOR')])",5417554,CONSULTORIO ODONTOLOGICO AFFONSO RECIPUTE JUNIOR
"OrderedDict([('codigo', '6017703')])","OrderedDict([('Nome', 'CONSULTORIO DRA RICHELLY ROCHA')])",6017703,CONSULTORIO DRA RICHELLY ROCHA
"OrderedDict([('codigo', '7668694')])","OrderedDict([('Nome', 'CONSULTORIO DRA BIANCA QUEIROZ')])",7668694,CONSULTORIO DRA BIANCA QUEIROZ
"OrderedDict([('codigo', '5321611')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO PEDRO GREGORIO ANTUNES')])",5321611,CONSULTORIO MEDICO PEDRO GREGORIO ANTUNES
"OrderedDict([('codigo', '5322642')])","OrderedDict([('Nome', 'FISIOTERAPEUTAS ASSOCIADOS')])",5322642,FISIOTERAPEUTAS ASSOCIADOS
"OrderedDict([('codigo', '5326699')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO TULIO FERNANDES DE OLIVEIRA FILHO')])",5326699,CONSULTORIO MEDICO TULIO FERNANDES DE OLIVEIRA FILHO
"OrderedDict([('codigo', '6133223')])","OrderedDict([('Nome', 'CENTRO MEDICO ANA LIMA DE NATAL')])",6133223,CENTRO MEDICO ANA LIMA DE NATAL
"OrderedDict([('codigo', '5963079')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA TATIANA CARVALHO')])",5963079,CONSULTORIO ODONTOLOGICO DRA TATIANA CARVALHO
"OrderedDict([('codigo', '5339529')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO MARCOS ANTONIO FREIRE DA COSTA')])",5339529,CONSULTORIO MEDICO MARCOS ANTONIO FREIRE DA COSTA
"OrderedDict([('codigo', '5342171')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO MANOEL AFONSO D FILHO')])",5342171,CONSULTORIO MEDICO MANOEL AFONSO D FILHO
"OrderedDict([('codigo', '5342848')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO MANUEL DA SILVA SANTOS')])",5342848,CONSULTORIO MEDICO MANUEL DA SILVA SANTOS
"OrderedDict([('codigo', '5343097')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO LUIS EDUARDO BARBALHO DE MELLO')])",5343097,CONSULTORIO MEDICO LUIS EDUARDO BARBALHO DE MELLO
"OrderedDict([('codigo', '5343127')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO FERNANDO JOSE PINTO DE PAIVA')])",5343127,CONSULTORIO MEDICO FERNANDO JOSE PINTO DE PAIVA
"OrderedDict([('codigo', '5346045')])","OrderedDict([('Nome', 'LABORATORIO PAN MED')])",5346045,LABORATORIO PAN MED
"OrderedDict([('codigo', '7645082')])","OrderedDict([('Nome', 'INSTITUTO VIDA')])",7645082,INSTITUTO VIDA
"OrderedDict([('codigo', '5358329')])","OrderedDict([('Nome', 'CAPS INFANTIL ESPERANCA')])",5358329,CAPS INFANTIL ESPERANCA
"OrderedDict([('codigo', '5359732')])","OrderedDict([('Nome', 'CONSULTORIO DE PSICOLOGIA SANDRA MARIA DE ARAUJO SPINELLI')])",5359732,CONSULTORIO DE PSICOLOGIA SANDRA MARIA DE ARAUJO SPINELLI
"OrderedDict([('codigo', '5360110')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ITALO BRUNO ELIAS DE OLIVEIRA LEAL')])",5360110,CONSULTORIO ODONTOLOGICO ITALO BRUNO ELIAS DE OLIVEIRA LEAL
"OrderedDict([('codigo', '5972450')])","OrderedDict([('Nome', 'COINSULTORIO ODONTOLOGICO DR RODRIGO')])",5972450,COINSULTORIO ODONTOLOGICO DR RODRIGO
"OrderedDict([('codigo', '5972477')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR ROBERTO GUERRA')])",5972477,CONSULTORIO MEDICO DR ROBERTO GUERRA
"OrderedDict([('codigo', '5977444')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA REJANE MORAIS')])",5977444,CONSULTORIO ODONTOLOGICO DRA REJANE MORAIS
"OrderedDict([('codigo', '6000959')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA PATRICIA DE FARIAS')])",6000959,CONSULTORIO ODONTOLOGICO DRA PATRICIA DE FARIAS
"OrderedDict([('codigo', '7778260')])","OrderedDict([('Nome', 'HMG SAUDE')])",7778260,HMG SAUDE
"OrderedDict([('codigo', '7686390')])","OrderedDict([('Nome', 'EMAGRECER SAUDE E ESTETICA')])",7686390,EMAGRECER SAUDE E ESTETICA
"OrderedDict([('codigo', '7749384')])","OrderedDict([('Nome', 'SIM')])",7749384,SIM
"OrderedDict([('codigo', '7760248')])","OrderedDict([('Nome', 'CONSULTORIA BRENDA DANTAS')])",7760248,CONSULTORIA BRENDA DANTAS
"OrderedDict([('codigo', '5581931')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DR GLEICY TENORIO SETIME')])",5581931,CONSULTORIO MEDICO DR GLEICY TENORIO SETIME
"OrderedDict([('codigo', '7613695')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA LIANA BERUCIA')])",7613695,CONSULTORIO MEDICO DRA LIANA BERUCIA
"OrderedDict([('codigo', '7614039')])","OrderedDict([('Nome', 'CONSULTORIO DR JORDAN DE GUSMAO')])",7614039,CONSULTORIO DR JORDAN DE GUSMAO
"OrderedDict([('codigo', '7614349')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA ANA LUIZA VILAR')])",7614349,CONSULTORIO ODONTOLOGICO DRA ANA LUIZA VILAR
"OrderedDict([('codigo', '7615310')])","OrderedDict([('Nome', 'MOVIMENTE ESPACO TERAPEUTICO')])",7615310,MOVIMENTE ESPACO TERAPEUTICO
"OrderedDict([('codigo', '7616139')])","OrderedDict([('Nome', 'CASA DE PSICOLOGIA')])",7616139,CASA DE PSICOLOGIA
"OrderedDict([('codigo', '7617240')])","OrderedDict([('Nome', 'DRA ANGELICA MARIA FAUSTINO')])",7617240,DRA ANGELICA MARIA FAUSTINO
"OrderedDict([('codigo', '5365384')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO JOSE EDSON DE MOURA JUNIOR')])",5365384,CONSULTORIO ODONTOLOGICO JOSE EDSON DE MOURA JUNIOR
"OrderedDict([('codigo', '5366437')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO SUELY MARINHO BEZERRA GABRIEL')])",5366437,CONSULTORIO ODONTOLOGICO SUELY MARINHO BEZERRA GABRIEL
"OrderedDict([('codigo', '5366453')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ULYSSES LEOPOLDO DE SOUZA')])",5366453,CONSULTORIO ODONTOLOGICO ULYSSES LEOPOLDO DE SOUZA
"OrderedDict([('codigo', '5366720')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO JULIANA SALDANHA OZORIO')])",5366720,CONSULTORIO ODONTOLOGICO JULIANA SALDANHA OZORIO
"OrderedDict([('codigo', '5367948')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO ANA CELIA COSTA DE CARVALHO')])",5367948,CONSULTORIO MEDICO ANA CELIA COSTA DE CARVALHO
"OrderedDict([('codigo', '5369118')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO VANESSA CORTEZ PORPINO CYSNEIROS')])",5369118,CONSULTORIO ODONTOLOGICO VANESSA CORTEZ PORPINO CYSNEIROS
"OrderedDict([('codigo', '5370515')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO ELIANE MARIA CARNEIRO MARINHO DE MA')])",5370515,CONSULTORIO ODONTOLOGICO ELIANE MARIA CARNEIRO MARINHO DE MA
"OrderedDict([('codigo', '5347335')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO ENEIDA LUCIANO TORRES')])",5347335,CONSULTORIO MEDICO ENEIDA LUCIANO TORRES
"OrderedDict([('codigo', '7746539')])","OrderedDict([('Nome', 'CLINICA JUSTIZ')])",7746539,CLINICA JUSTIZ
"OrderedDict([('codigo', '7739796')])","OrderedDict([('Nome', 'CONSULTORIO MARIANA ZULIANELI')])",7739796,CONSULTORIO MARIANA ZULIANELI
"OrderedDict([('codigo', '5602327')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA CAROLINE DANTAS VILAR')])",5602327,CONSULTORIO ODONTOLOGICO DRA CAROLINE DANTAS VILAR
"OrderedDict([('codigo', '6722806')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA KETSIA MEDEIROS')])",6722806,CONSULTORIO ODONTOLOGICO DRA KETSIA MEDEIROS
"OrderedDict([('codigo', '6728103')])","OrderedDict([('Nome', 'CLINORTO')])",6728103,CLINORTO
"OrderedDict([('codigo', '6730000')])","OrderedDict([('Nome', 'SENTIRE')])",6730000,SENTIRE
"OrderedDict([('codigo', '7714580')])","OrderedDict([('Nome', 'LABORATORIO UNIMED NATAL')])",7714580,LABORATORIO UNIMED NATAL
"OrderedDict([('codigo', '6560210')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA JOSELE DE JESUS')])",6560210,CONSULTORIO ODONTOLOGICO DRA JOSELE DE JESUS
"OrderedDict([('codigo', '7724152')])","OrderedDict([('Nome', 'CONSULTORIO DRA DULCIANA COSTA')])",7724152,CONSULTORIO DRA DULCIANA COSTA
"OrderedDict([('codigo', '7796129')])","OrderedDict([('Nome', 'CT ENDOCLINICA CLINICA MEDICA LTDA')])",7796129,CT ENDOCLINICA CLINICA MEDICA LTDA
"OrderedDict([('codigo', '7656351')])","OrderedDict([('Nome', 'ECOCARDIO NATAL')])",7656351,ECOCARDIO NATAL
"OrderedDict([('codigo', '6618960')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DRA WALDENIA')])",6618960,CONSULTORIO ODONTOLOGICO DRA WALDENIA
"OrderedDict([('codigo', '6621023')])","OrderedDict([('Nome', 'CONSULTORIO ODONTOLOGICO DR LUIZ EDUARDO')])",6621023,CONSULTORIO ODONTOLOGICO DR LUIZ EDUARDO
"OrderedDict([('codigo', '7687958')])","OrderedDict([('Nome', 'CONSULTORIO MEDICO DRA GLEYSE KARINA')])",7687958,CONSULTORIO MEDICO DRA GLEYSE KARINA
"OrderedDict([('codigo', '7795475')])","OrderedDict([('Nome', 'APIS CLINIC')])",7795475,APIS CLINIC
"OrderedDict([('codigo', '7803303')])","OrderedDict([('Nome', 'PSICOLOGIA CLINICA RUANA QUEIROZ')])",7803303,PSICOLOGIA CLINICA RUANA QUEIROZ
"OrderedDict([('codigo', '6512984')])","OrderedDict([('Nome', 'CONSULTORIO DE PSICOLOGIA DRA KELIA')])",6512984,CONSULTORIO DE PSICOLOGIA DRA KELIA
"OrderedDict([('codigo', '6621902')])","OrderedDict([('Nome', 'CENTRO CLINICO DE ENDOCRINOGIA')])",6621902,CENTRO CLINICO DE ENDOCRINOGIA
"OrderedDict([('codigo', '6626688')])","OrderedDict([('Nome', 'CIA ORAL')])",6626688,CIA ORAL
"OrderedDict([('codigo', '6626777')])","OrderedDict([('Nome', 'CLINICA TONY ELBERT')])",6626777,CLINICA TONY ELBERT
